Time,Rla,Rlo,RCPI,DistanceDelta(m),TimeDelta(s),Speed(km/h)
11:36:30,37.4040041,127.1046397,102,0.0,1.0,0.0
11:36:31,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:32,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:33,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:34,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:35,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:36,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:37,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:38,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:39,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:40,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:41,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:42,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:43,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:44,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:45,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:46,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:47,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:48,37.4040041,127.1046397,144,0.0,1.0,0.0
11:36:49,37.4040041,127.1046397,104,0.0,1.0,0.0
11:36:50,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:51,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:52,37.4040041,127.1046397,142,0.0,1.0,0.0
11:36:53,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:54,37.4040041,127.1046397,94,0.0,1.0,0.0
11:36:55,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:56,37.4040041,127.1046397,96,0.0,1.0,0.0
11:36:57,37.4040041,127.1046397,98,0.0,1.0,0.0
11:36:58,37.4040041,127.1046397,100,0.0,1.0,0.0
11:36:59,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:00,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:01,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:02,37.4040041,127.1046397,144,0.0,1.0,0.0
11:37:03,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:04,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:05,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:06,37.4040041,127.1046397,96,0.0,1.0,0.0
11:37:07,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:08,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:09,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:10,37.4040041,127.1046397,102,0.0,1.0,0.0
11:37:11,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:12,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:13,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:14,37.4040041,127.1046397,96,0.0,1.0,0.0
11:37:15,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:16,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:17,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:18,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:19,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:20,37.4040041,127.1046397,98,0.0,1.0,0.0
11:37:21,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:22,37.4040041,127.1046397,100,0.0,1.0,0.0
11:37:23,37.4040041,127.1046397,98,0.0,1.0,0.0
